ID,Paper Title,Publication Year,Author Keywords,Article Citation Count,Authors with Affiliations
116,A Large-Scale Empirical Study on the Effects of Code Obfuscations on Android Apps and Anti-Malware Products,2018,Android;empirical study;Security;Code Obfuscation;Anti malware products,19,"M. Hammad (Department of Informatics, University of California, Irvine Irvine, California, USA); J. Garcia (Department of Informatics, University of California, Irvine Irvine, California, USA); S. Malek (Department of Informatics, University of California, Irvine Irvine, California, USA)"
117,[Journal First] An Empirical Study on the Interplay Between Semantic Coupling and Co-change of Software Classes,2018,Semantic coupling;co-change;Java software;metrics,16,"N. Ajienka (Edge Hill University, Ormskirk, Lancashire, GB); A. Capiluppi (Brunel University, Uxbridge, Middlesex, GB); S. Counsell (Brunel University, Uxbridge, Middlesex, GB)"
118,DeFlaker: Automatically Detecting Flaky Tests,2018,software testing;flaky tests;code coverage,50,"J. Bell (George Mason University, Fairfax, VA, USA); O. Legunsen (University of Illinois at Urbana-Champaign, Urbana, IL, USA); M. Hilton (Carnegie Mellon University, Pittsburgh, PA, USA); L. EloUSAsi (University of Illinois at Urbana-Champaign, Urbana, IL, USA); T. Yung (University of Illinois at Urbana-Champaign, Urbana, IL, USA); D. Marinov (University of Illinois at Urbana-Champaign, Urbana, IL, USA)"
119,DetReduce: Minimizing Android GUI Test Suites for Regression Testing,2018,Android;GUI;Test minimization,10,"W. Choi (University of California Berkeley, Berkeley, CA, USA); K. Sen (University of California Berkeley, Berkeley, CA, USA); G. Necul (University of California Berkeley, Berkeley, CA, USA); W. Wang (University of Illinois System, Urbana, IL, USA)"
120,Time to Clean Your Test Objectives,2018,Coverage Criteria;Infeasible Objectives;Redundant Objectives,5,"M. Marcozzi (Imperial College London, London, London, GB); S. Bardin (Commissariat a l'energie atomique et aux energies alternatives Siege administratif, Gif-sur-Yvette, ÃZle-de-France, FR); N. Kosmatov (Commissariat a l'energie atomique et aux energies alternatives Siege administratif, Gif-sur-Yvette, ÃZle-de-France, FR); M. Papadakis (Universite du Luxembourg, Luxembourg, LU); V. Prevosto (Commissariat a l'energie atomique et aux energies alternatives Siege administratif, Gif-sur-Yvette, ÃZle-de-France, FR); L. Correnson (Commissariat a l'energie atomique et aux energies alternatives Siege administratif, Gif-sur-Yvette, ÃZle-de-France, FR)"
121,Prioritizing Browser Environments for Web Application Test Execution,2018,Web application testing;Regression testing;Browser environments,1,"J. -H. Kwon (Korea Advanced Institute of Science and Technology, Daejeon, Daejeon, KR); I. -Y. Ko (Korea Advanced Institute of Science and Technology, Daejeon, Daejeon, KR); G. Rothermel (University of Nebraska-Lincoln, Lincoln, NE, USA)"
122,[Journal First] An Empirical Study of Early Access Games on the Steam Platform,2018,early access games;computer games;Steam,0,"D. Lin (Queen's University Faculty of Health Sciences, Kingston, ON, CA); C. -P. Bezemer (Queen's University Faculty of Health Sciences, Kingston, ON, CA); A. E. Hassan (Queen's University Faculty of Health Sciences, Kingston, ON, CA)"
123,[Journal First] Correctness Attraction: A Study of Stability of Software Behavior Under Runtime Perturbation,2018,perturbation analysis;software correctness;empirical study,26,"B. Danglot (Inria, Le Chesnay, ÃZle-de-France, FR); P. Preux (Univ. Lille, Villeneuve-d'Ascq, France); B. Baudry (Inria Centre de Recherche Rennes Bretagne Atlantique, Rennes, Bretagne, FR); M. MonperrUSA (Kungliga Tekniska Hogskolan, Stockholm, SE)"
124,[Journal First] On the Diffuseness and the Impact on Maintainability of Code Smells: A Large Scale Empirical Investigation,2018,code smells;empirical studies;mining software repositories,2,"F. Palomba (Universitat Zurich, Zurich, ZH, CH); G. Bavota (Universita della Svizzera Italiana, Lugano, TI, CH); M. Di Penta (Universita degli Studi del Sannio, Benevento, Campania, IT); F. Fasano (Universita degli Studi del Molise, Campobasso, Molise, IT); R. Oliveto (Universita degli Studi del Molise, Campobasso, Molise, IT); A. De Lucia (Universita degli Studi di Salerno, Fisciano, Campania, IT)"
125,Accurate and Efficient Refactoring Detection in Commit History,2018,Refactoring;Commit;Git;Abstract Syntax Tree;Oracle;Accuracy,85,"N. Tsantalis (Concordia University, Montreal, Quebec, Canada); M. Mansouri (Concordia University, Montreal, Quebec, Canada); L. Eshkevari (Concordia University, Montreal, Quebec, Canada); D. Mazinanian (Concordia University, Montreal, Quebec, Canada); D. Dig (Oregon State University, Corvallis, Oregon, USA)"
126,ENTRUST: Engineering Trustworthy Self-Adaptive Software with Dynamic Assurance Cases,2018,self adaptive software systems;software engineering methodology;assurance evidence;assurance cases,2,"R. Calinescu (University of York, York, North Yorkshire, GB); D. Weyns (Katholieke Universiteit Leuven, Leuven, Flanders, BE); S. Gerasimou (University of York, York, North Yorkshire, GB); M. U. Iftikhar (Linneuniversitet, Kalmar, SE); I. Habli (University of York, York, North Yorkshire, GB); T. Kelly (University of York, York, North Yorkshire, GB)"
127,"The Good, the Bad and the Ugly: A Study of Security Decisions in a Cyber-Physical Systems Game",2018,security decisions;security requirements;game;decision patterns,2,"S. Frey (University of Southampton, Southampton, Hampshire, GB); A. Rashid (University of Bristol, Bristol, Bristol, GB); P. Anthonysamy (Google, Switzerland); M. Pinto-Albuquerque (Inst. Univ. de Lisboa, Lisbon, Portugal); S. A. Naqvi (Lancaster University, Lancaster, Lancashire, GB)"
128,"[Journal First] Lightweight, Obfuscation-Resilient Detection and Family Identification of Android Malware",2018,obfuscation;machine learning;lightweight;native code;reflection;Android malware,1,"J. Garcia (University of California Irvine, Irvine, CA, USA); M. Hammad (University of California Irvine, Irvine, CA, USA); S. Malek (University of California Irvine, Irvine, CA, USA)"
129,[Journal First] Are Vulnerabilities Discovered and Resolved Like Other Defects?,2018,metrics;security,0,"P. Morrison (North Carolina State University, Raleigh, NC, USA); R. Pandita (Phase Change Software, Golden, CO, USA); X. Xiao (Case Western Reserve University, Cleveland, OH, USA); R. Chillarege (Chillarege Inc., Raleigh, NC, USA); L. Williams (North Carolina State University, Raleigh, NC, USA)"
130,How Modern News Aggregators Help Development Communities Shape and Share Knowledge,2018,News aggregators;development communities;knowledge sharing;social computing,18,"M. Aniche (Delft University of Technology); C. Treude (University of Adelaide); I. Steinmacher (Northern Arizona University and Technological University of Parana (UTFPR), Campo Mourao); I. Wiese (Technological University of Parana (UTFPR), Campo Mourao); G. Pinto (University of Para (UFPA)); M. Storey (University of Victoria); M. A. Gerosa (Northern Arizona University)"
131,Adding Sparkle to Social Coding: An Empirical Study of Repository Badges in the npm Ecosystem,2018,repository badge;signaling theory;regression discontinuity design;mining software repositories;dependency manager,5,"A. Trockman (University of Evansville, USA); S. Zhou (Carnegie Mellon University, USA); C. Kastner (Carnegie Mellon University, USA); B. Vasilescu (Carnegie Mellon University, USA)"
132,"""Was My Contribution Fairly Reviewed?"" A Framework to Study the Perception of Fairness in Modern Code Reviews",2018,Fairness;Software Development;Code Reviews;Open source software;human and social aspects;transparency,8,"D. M. German (University of Victoria, Victoria, BC, CA); G. Robles (Universidad Rey Juan Carlos, Spain); G. Poo-Caamano (University of Victoria, Canada); X. Yang (Osaka University, Japan); H. Iida (Nara Institute of Technology, Japan); K. Inoue (Osaka University, Japan)"
133,Collaborative Model-Driven Software Engineering: A Classification Framework and a Research Map [Extended Abstract],2018,Collaborative MDSE;CoMDSE;C MDSE;model driven engineering;collaborative software engineering;CoSE;systematic mapping study,102,"D. Di RUSAcio (DISIM Dept., Univ. of L'Aquila, L'Aquila, Italy); M. Franzago (DISIM Dept., Univ. of L'Aquila, L'Aquila, Italy); I. Malavolta (DISIM Dept., Univ. of L'Aquila, L'Aquila, Italy); H. Muccini (Vrije Universiteit Amsterdam, Amsterdam, Noord-Holland, NL)"
134,[Journal First] ChangeLocator: Locate Crash-Inducing Changes Based on Crash Reports,2018,crash-inducing change;software crash;crash stack;bug localization,1,"R. Wu (Hong Kong University of Science and Technology, Kowloon, HK); M. Wen (Hong Kong University of Science and Technology, Kowloon, HK); S. -C. Cheung (Hong Kong University of Science and Technology, Kowloon, HK); H. Zhang (The University of Newcastle, Callaghan, NSW, AU)"
135,Are Mutation Scores Correlated with Real Fault Detection? A Large Scale Empirical Study on the Relationship Between Mutants and Real Faults,2018,mutation testing;real faults;test suite effectiveness,16,M. Papadakis (University of Luxembourg); D. Shin (Korea Advanced Institute of Science and Technology); S. Yoo (Korea Advanced Institute of Science and Technology); D. Bae (Korea Advanced Institute of Science and Technology)
136,Efficient Sampling of SAT Solutions for Testing,2018,sampling;stimulus generation;constraint-based testing;constrained random verification,16,"R. Dutra (University of California Berkeley, Berkeley, CA, USA); K. Laeufer (University of California Berkeley, Berkeley, CA, USA); J. Bachrach (University of California Berkeley, Berkeley, CA, USA); K. Sen (University of California Berkeley, Berkeley, CA, USA)"
137,[Journal First] Are Fix-Inducing Changes a Moving Target?: A Longitudinal Case Study of Just-in-Time Defect Prediction,2018,Just In Time prediction;Defect prediction;Mining software repositories,3,"S. McIntosh (McGill University, Montreal, QC, CA); Y. Kamei (KyUSAhu Daigaku, Fukuoka, JP)"
138,Understanding Developers' Needs on Deprecation as a Language Feature,2018,API;deprecation;Java,9,"A. A. Sawant (Technische Universiteit Delft, Delft, Zuid-Holland, NL); M. Aniche (Technische Universiteit Delft, Delft, Zuid-Holland, NL); A. van Deursen (Technische Universiteit Delft, Delft, Zuid-Holland, NL); A. Bacchelli (Universitat Zurich, Zurich, ZH, CH)"
139,On the Dichotomy of Debugging Behavior Among Programmers,2018,Debugging;Testing;WatchDog;IntelliJ;Eclipse,18,"M. Beller (Technische Universiteit Delft, Delft, Zuid-Holland, NL); N. Spruit (Technische Universiteit Delft, Delft, Zuid-Holland, NL); D. Spinellis (Athens University of Economics and BUSAiness, Athens, GR); A. Zaidman (Technische Universiteit Delft, Delft, Zuid-Holland, NL)"
140,Measuring Program Comprehension: A Large-Scale Field Study with Professionals,2018,Program Comprehension;Field Study;Inference Model,5,"X. Xia (Monash University, Clayton, VIC, AU); L. Bao (Zhejiang University, Hangzhou, Zhejiang, CN); D. Lo (Singapore Management University, Singapore, Singapore, SG); Z. Xing (australian National University, Canberra, ACT, AU); A. E. Hassan (Queen's University Faculty of Health Sciences, Kingston, ON, CA); S. Li (Zhejiang University, Hangzhou, Zhejiang, CN)"
141,Data Scientists in Software Teams: State of the Art and Challenges,2018,Software productivity;data science,1,"M. Kim (University of California Los Angeles, Los Angeles, CA, USA); T. Zimmermann (Microsoft Research, Redmond, WA, USA); R. DeLine (Microsoft Research, Redmond, WA, USA); A. Begel (Microsoft Research, Redmond, WA, USA)"
142,Dataflow Tunneling: Mining Inter-Request Data Dependencies for Request-Based Applications,2018,web application;request based applications;web frameworks;inter request analysis;tracing,3,"X. Yu (Department of Computer Science, North Carolina State University); G. Jin (Department of Computer Science, North Carolina State University)"
143,Launch-Mode-Aware Context-Sensitive Activity Transition Analysis,2018,Android;Pointer Analysis;Activity Transition Analysis,6,"Y. Zhang (UNSW, Sydney, australia); Y. Sui (University of Technology, Sydney, australia); J. Xue (UNSW, Sydney, australia)"
144,UFO: Predictive Concurrency Use-After-Free Detection,2018,UAF;Concurrency;Vulnerabilities;UFO,12,"J. Huang (Texas A&M University College Station, College Station, TX, USA)"
145,Collective Program Analysis,2018,Source code analysis;Clustering;Boa,2,"G. Upadhyaya (Dept. of Comput. Sci., Iowa State Univ. Ames, Ames, IA, USA); H. Rajan (Dept. of Comput. Sci., Iowa State Univ. Ames, Ames, IA, USA)"
146,Statistical Learning of API Fully Qualified Names in Code Snippets of Online Forums,2018,Type Resolution;Type Inference;Type Annotations;Partial Program Analysis;Statistical Machine Translation;Naturalness;Big Code,18,"H. Phan (Iowa State University, Ames, IA, USA); H. A. Nguyen (Iowa State University, Ames, IA, USA); N. M. Tran (University of Texas at Dallas, Richardson, TX, USA); L. H. Truong (University of Texas at Dallas, Richardson, TX, USA); A. T. Nguyen (Independent Researcher); T. N. Nguyen (University of Texas at Dallas, Richardson, TX, USA)"
147,When Not to Comment: Questions and Tradeoffs with API Documentation for C++ Projects,2018,documentation;human factors;developer workflow;APIs;usability,8,"A. Head (UC Berkeley); C. Sadowski (Google, Inc.); E. Murphy-Hill (NC State University); A. Knight (Google, Inc.)"
148,Deuce: A Lightweight User Interface for Structured Editing,2018,Structured Editing;Refactoring;Sketch-n-Sketch,28,B. Hempel (University of Chicago); J. Lubin (University of Chicago); G. Lu (University of Chicago); R. Chugh (University of Chicago)
149,From UI Design Image to GUI Skeleton: A Neural Machine Translator to Bootstrap Mobile GUI Implementation,2018,User interface;reverse engineering;deep learning,54,"C. Chen (school of computer science and engineering, nanyang technological university, singapore, Singapore, SG); T. Su (school of computer science and engineering, nanyang technological university, singapore, Singapore, SG); G. Meng (school of computer science and engineering, nanyang technological university, singapore, Singapore, SG); Z. Xing (australian National University, Canberra, ACT, AU); Y. Liu (school of computer science and engineering, nanyang technological university, singapore, Singapore, SG)"
150,When Testing Meets Code Review: Why and How Developers Review Tests,2018,software testing;automated testing;code review;Gerrit,13,"D. Spadini (Technische Universiteit Delft, Delft, Zuid-Holland, NL); M. Aniche (Technische Universiteit Delft, Delft, Zuid-Holland, NL); M. -A. Storey (University of Victoria, Victoria, BC, CA); M. Bruntink (Software Improvement Group, Amsterdam, Netherlands); A. Bacchelli (Universitat Zurich, Zurich, ZH, CH)"
151,Redefining Prioritization: Continuous Prioritization for Continuous Integration,2018,continuous integration;regression testing;large scale testing,21,"J. Liang (University of Nebraska-Lincoln, Lincoln, NE, USA); S. Elbaum (University of Nebraska-Lincoln, Lincoln, NE, USA); G. Rothermel (University of Nebraska-Lincoln, Lincoln, NE, USA)"
152,[Journal First] MAHAKIL: Diversity Based Oversampling Approach to Alleviate the Class Imbalance Issue in Software Defect Prediction,2018,Software defect prediction;Class imbalance learning;Synthetic sample generation;Data sampling methods;Classification problems,3,"K. E. Bennin (City University of Hong Kong, Kowloon, HK); J. Keung (City University of Hong Kong, Kowloon, HK); P. Phannachitta (Chiang Mai University, Chiang Mai, TH); A. Monden (Okayama Daigaku, Okayama, Okayama, JP); S. Mensah (City University of Hong Kong, Kowloon, HK)"
153,[Journal First] On the Use of Hidden Markov Model to Predict the Time to Fix Bugs,2018,Bug repositories;Temporal activities;Time to fix a bug;Hidden Markov model,0,"M. Habayeb (Ryerson University, Toronto, ON, CA); S. S. Murtaza (Ryerson University, Toronto, ON, CA); A. Miranskyy (Ryerson University, Toronto, ON, CA); A. B. Bener (Ryerson University, Toronto, ON, CA)"
154,[Journal First] What Makes a Great Manager of Software Engineers?,2018,Manager;Software Engineering;Knowledge Work;Empirical Study;Conceptual Framework;Manager Attributes;Technical Skills,1,"E. Kalliamvakou (University of Victoria, Victoria, BC, CA); C. Bird (Microsoft Research, Redmond, WA, USA); T. Zimmermann (Microsoft Research, Redmond, WA, USA); A. Begel (Microsoft Research, Redmond, WA, USA); R. DeLine (Microsoft Research, Redmond, WA, USA); D. M. German (University of Victoria, Victoria, BC, CA)"
155,[Journal First] Older Adults and Hackathons: A Qualitative Study,2018,older adults;elderly;participatory design;co-design;user-centered design;user experience;hackathons;qualitative methods;intergenerational interaction;intergenerational cooperation,49,"W. Kopec (Polish-Japanese Acad. of Inf. Technol., Warsaw, Japan); B. Balcerzak (Polish-Japanese Acad. of Inf. Technol., Warsaw, Japan); R. Nielek (Polish-Japanese Acad. of Inf. Technol., Warsaw, Japan); G. Kowalik (Polish-Japanese Acad. of Inf. Technol., Warsaw, Japan); A. Wierzbicki (Polish-Japanese Acad. of Inf. Technol., Warsaw, Japan); F. Casati (Universita degli Studi di Trento, Trento, Trentino-Alto Adige, IT)"
156,[Journal First] Does Syntax Highlighting Help Programming Novices?,2018,Syntax Highlighting;Source Code Typography;Code Colouring;IDE Interface;Program Comprehension,0,"C. Hannebauer (Paluno - The Ruhr Institute for Software Technology, University of Duisburg-Essen, Essen, Germany); M. HeseniUSA (Universitat Duisburg-Essen, Duisburg, Nordrhein-Westfalen, DE); V. Gruhn (Universitat Duisburg-Essen, Duisburg, Nordrhein-Westfalen, DE)"
157,Do Programmers Work at Night or During the Weekend?,2018,software repository mining;overtime;overwork;open source;apache;mozilla;weekend;night,12,"M. Claes (Oulun Yliopisto, Oulu, FI); M. V. Mantyla (Oulun Yliopisto, Oulu, FI); M. Kuutila (Oulun Yliopisto, Oulu, FI); B. Adams (MCIS, Polytech. Montreal, Montreal, QC, Canada)"
158,Multi-granular Conflict and Dependency Analysis in Software Engineering Based on Graph Transformation,2018,automated static analysis,3,"L. Lambers (Hasso-Plattner-Inst. Potsdam, Potsdam, Germany); D. Struber (Universitat Koblenz-Landau, Koblenz, Rheinland-Pfalz, DE); G. Taentzer (Philipps-Universitat Marburg, Marburg, Hessen, DE); K. Born (Philipps-Universitat Marburg, Marburg, Hessen, DE); J. Huebert (Philipps-Universitat Marburg, Marburg, Hessen, DE)"
159,Self-Hiding Behavior in Android Apps: Detection and Characterization,2018,Android;static analysis;malware;mobile security,8,"Z. Shan (Wichita State University, Wichita, KS, USA); I. Neamtiu (New Jersey Institute of Technology, Newark, NJ, USA); R. Samuel (New Jersey Institute of Technology, Newark, NJ, USA)"
160,[Journal First] The Scent of a Smell: An Extensive Comparison Between Textual and Structural Smells,2018,code smells;empirical study;mining software repositories,0,"F. Palomba (Universitat Zurich, Zurich, ZH, CH); A. Panichella (Technische Universiteit Delft, Delft, Zuid-Holland, NL); A. Zaidman (Technische Universiteit Delft, Delft, Zuid-Holland, NL); R. Oliveto (Universita degli Studi del Molise, Campobasso, Molise, IT); A. De Lucia (Universita degli Studi di Salerno, Fisciano, Campania, IT)"
161,ConflictJS: Finding and Understanding Conflicts Between JavaScript Libraries,2018,JavaScript libraries;testing,8,J. Patra (TU Darmstadt); P. N. Dixit (TU Darmstadt); M. Pradel (TU Darmstadt)
162,Debugging Data Flows in Reactive Programs,2018,reactive programming;debugging;visualization;program comprehension,5,"H. Banken (Delft University of Technology, Delft, The Netherlands); E. Meijer (Delft University of Technology, Delft, The Netherlands); G. GoUSAios (Delft University of Technology, Delft, The Netherlands)"
163,Do You Remember This Source Code?,2018,familiarity;forgetting;empirical study;maintenance;program comprehension;expert identification;knowledge management,4,"J. Kruger (Hochschule Harz - Hochschule fur angewandte Wissenschaften, Wernigerode, DE); J. Wiemann (Otto von Guericke Universitat Magdeburg, Magdeburg, Sachsen-Anhalt, DE); W. Fenske (Otto von Guericke Universitat Magdeburg, Magdeburg, Sachsen-Anhalt, DE); G. Saake (Otto von Guericke Universitat Magdeburg, Magdeburg, Sachsen-Anhalt, DE); T. Leich (Hochschule Harz - Hochschule fur angewandte Wissenschaften, Wernigerode, DE)"
164,Inferring Hierarchical Motifs from Execution Traces,2018,Program comprehension;behavioural model;hierarchical motifs,9,"S. Alimadadi (Northeastern University, Boston, MA, USA); A. Mesbah (The University of British Columbia Faculty of Medicine, Vancouver, BC, CA); K. Pattabiraman (The University of British Columbia Faculty of Medicine, Vancouver, BC, CA)"
165,[Journal First] A Comparison of Program Comprehension Strategies by Blind and Sighted Programmers,2018,Program comprehension;accessibility technology;blindness,1,"A. Armaly (University of Notre Dame, Notre Dame, IN, USA); P. Rodeghero (University of Notre Dame, Notre Dame, IN, USA); C. McMillan (University of Notre Dame, Notre Dame, IN, USA)"
166,Identifying Patch Correctness in Test-Based Program Repair,2018,Test based program repair;patch correctness;patch classification;test generation,42,"Y. Xiong (Peking University, Beijing, Beijing, CN); X. Liu (Peking University, Beijing, Beijing, CN); M. Zeng (Peking University, Beijing, Beijing, CN); L. Zhang (Peking University, Beijing, Beijing, CN); G. Huang (Peking University, Beijing, Beijing, CN)"
167,How not to Structure Your Database-Backed Web Applications: A Study of Performance Bugs in the Wild,2018,performance anti-patterns;Object-Relational Mapping frameworks;database-backed applications;bug study,15,J. Yang (University of Chicago); C. Yan (University of Washington); P. Subramaniam (University of Chicago); S. Lu (University of Chicago); A. Cheung (University of Washington)
168,Speedoo: Prioritizing Performance Optimization Opportunities,2018,Performance;Metrics;Architecture,8,"Z. Chen (State Key Laboratory for Novel Software Technology, Nanjing University, China); B. Chen (State Key Laboratory for Novel Software Technology, Nanjing University, China); L. Xiao (School of Computer Science, Systems Fudan University, China); X. Wang (School of Computer Science and Engineering Nanyang, Technological University, Singapore); L. Chen (School of Systems and Enterprises, Stevens Institute of Technology); Y. Liu (School of Systems and Enterprises, Stevens Institute of Technology); B. Xu (State Key Laboratory for Novel Software Technology, Nanjing University, China)"
169,[Journal First] Empirical Study on the Discrepancy Between Performance Testing Results from Virtual and Physical Environments,2018,Software performance engineering;Software performance analysis;Testing on virtual environments,25,"M. M. Arif (Concordia University, Montreal, QC, CA); W. Shang (Concordia University, Montreal, QC, CA); E. Shihab (Concordia University, Montreal, QC, CA)"
170,The Evolution of Requirements Practices in Software Startups,2018,requirements engineering;startups;evolution;grounded theory,18,C. Gralha (Universidade NOVA de Lisboa); D. Damian (University of Victoria); A. Wasserman (Carnegie Mellon University); M. Goulao (Universidade NOVA de Lisboa); J. Araujo (Universidade NOVA de Lisboa)
171,Traceability in the Wild: Automatically Augmenting Incomplete Trace Links,2018,Traceability;Link Recovery;Machine Learning;Open Source,34,"M. Rath (Technical University Ilmenau, Ilmenau, Germany); J. Rendall (University of Notre Dame, South Bend, USA); J. L. C. Guo (McGill University, Montreal, Canada); J. Cleland-Huang (University of Notre Dame, Notre Dame, IN, USA); P. Maeder (Technical University Ilmenau, Ilmenau, Germany)"
172,A Temporal Permission Analysis and Enforcement Framework for Android,2018,Android;Access Control (Permission);Temporal Logic,12,"A. Sadeghi (University of California Irvine, Irvine, CA, USA); R. Jabbarvand (University of California Irvine, Irvine, CA, USA); N. Ghorbani (University of California Irvine, Irvine, CA, USA); H. Bagheri (University of Nebraska System, Lincoln, NE, USA); S. Malek (University of California Irvine, Irvine, CA, USA)"
173,Global-Aware Recommendations for Repairing Violations in Exception Handling,2018,Exception Handling;Recommender system;Software maintenance,4,"E. A. Barbosa (Universidade Federal do Rio Grande do Norte, Natal, RN, BR); A. Garcia (Pontificia Universidade Catolica do Rio de Janeiro, Rio de Janeiro, RJ, BR)"
174,RFC-Directed Differential Testing of Certificate Validation in SSL/TLS Implementations,2018,Differential testing;certificate validation;SSL/TLS;dynamic symbolic execution;Request For Comments,7,"C. Chen (ICTT & ISN Lab., Xidian Univ. Xi'an, Xi'an, China); C. Tian (ICTT & ISN Lab., Xidian Univ. Xi'an, Xi'an, China); Z. Duan (ICTT & ISN Lab., Xidian Univ. Xi'an, Xi'an, China); L. Zhao (ICTT & ISN Lab., Xidian Univ. Xi'an, Xi'an, China)"
175,Symbolic Verification of Regular Properties,2018,Regular property;Verification;Dynamic Symbolic Execution;Slicing;Guiding,6,"H. Yu (State Key Laboratory of High Performance Computing, National University of Defense Technology, Changsha, China); Z. Chen (College of Computer, National University of Defense Technology, Changsha, China); J. Wang (State Key Laboratory of High Performance Computing, National University of Defense Technology, Changsha, China); Z. Su (Department of Computer Science, University of California, Davis, USA); W. Dong (College of Computer, National University of Defense Technology, Changsha, China)"
176,Metamorphic Testing of RESTful Web APIs,2018,Metamorphic testing;REST;RESTful Web services;Web API,4,"S. Segura (Universidad de Sevilla, Sevilla, ES); J. A. Parejo (Universidad de Sevilla, Sevilla, ES); J. Troya (Universidad de Sevilla, Sevilla, ES); A. Ruiz-Cortes (Universidad de Sevilla, Sevilla, ES)"
177,Integrating Technical Debt Management and Software Quality Management Processes: A Framework and Field Tests,2018,Technical debt;software quality;software maintenance;software engineering economics;cost of quality;software product development;software process;case study,5,"N. Ramasubbu (University of Pittsburgh, Pittsburgh, PA, USA); C. Kemerer (University of Pittsburgh, Pittsburgh, PA, USA)"
178,Understanding the Factors for Fast Answers in Technical Q&A Websites: An Empirical Study of Four Stack Exchange Websites,2018,Q&A website;Factor importance analysis;Response time,5,"S. Wang (Queen's University Faculty of Health Sciences, Kingston, ON, CA); T. -H. Chen (Concordia University, Montreal, QC, CA); A. E. Hassan (Queen's University Faculty of Health Sciences, Kingston, ON, CA)"
179,Towards Reusing Hints from Past Fixes: An Exploratory Study on Thousands of Real Samples,2018,reusing past fix;empirical study;program repair,1,"H. Zhong (Shanghai Jiao Tong University, Shanghai, CN); N. Meng (Virginia Polytechnic Institute and State University, Blacksburg, VA, USA)"
180,Are Code Examples on an Online Q&A Forum Reliable?: A Study of API Misuse on Stack Overflow,2018,online Q&A forums;API usage pattern;code example assessment,48,"T. Zhang (University of Shanghai for Science and Technology, Shanghai, China); G. Upadhyaya (Iowa State University); A. Reinhardt (George Fox University); H. Rajan (Iowa State University); M. Kim (University of California Los Angeles, Los Angeles, CA, USA)"
181,[Journal First] Inference of Development Activities from Interaction with Uninstrumented Applications,2018,Software development;Developers' interaction data;Condition Random Field,2,"L. Bao (Zhejiang University, Hangzhou, Zhejiang, CN); Z. Xing (australian National University, Canberra, ACT, AU); X. Xia (Monash University, Clayton, VIC, AU); D. Lo (Singapore Management University, Singapore, Singapore, SG); A. E. Hassan (Queen's University Faculty of Health Sciences, Kingston, ON, CA)"
182,Propagating Configuration Decisions with Modal Implication Graphs,2018,Software product line;Configuration;Decision Propagation,5,"S. Krieter (Otto von Guericke Universitat Magdeburg, Magdeburg, Sachsen-Anhalt, DE); T. Thum (Technische Universitat Braunschweig, Braunschweig, Niedersachsen, DE); S. Schulze (Otto von Guericke Universitat Magdeburg, Magdeburg, Sachsen-Anhalt, DE); R. Schroter (Otto von Guericke Universitat Magdeburg, Magdeburg, Sachsen-Anhalt, DE); G. Saake (Otto von Guericke Universitat Magdeburg, Magdeburg, Sachsen-Anhalt, DE)"
183,A Combinatorial Approach for Exposing Off-Nominal Behaviors,2018,Off-Nominal Behaviors;Requirements Verification;Combinatorial Approach;Model-based Approach,5,"K. Madala (University of North Texas, Denton, Texas); H. Do (University of North Texas, Denton, Texas); D. Aceituna (DISTek Integration, Inc.)"
184,Identifying Design Problems in the Source Code: A Grounded Theory,2018,design problem;grounded theory;software design;symptoms,17,"L. SoUSA (PUC-Rio, Rio de Janeiro - RJ); A. Oliveira (PUC-Rio, Rio de Janeiro - RJ); W. Oizumi (PUC-Rio, Rio de Janeiro - RJ); S. Barbosa (PUC-Rio, Rio de Janeiro - RJ); A. Garcia (PUC-Rio, Rio de Janeiro - RJ); J. Lee (Lancaster University, Lancaster, Lancashire); M. Kalinowski (PUC-Rio, Rio de Janeiro - RJ); R. de Mello (PUC-Rio, Rio de Janeiro - RJ); B. Fonseca (UFAL, Maceio - AL); R. Oliveira (PUC-Rio, Rio de Janeiro - RJ); C. Lucena (PUC-Rio, Rio de Janeiro - RJ); R. Paes (PUC-Rio, Rio de Janeiro - RJ)"
185,Predicting Future Developer Behavior in the IDE Using Topic Models,2018,command recommendation systems;IDE interaction data,22,"K. Damevski (Virginia Commonwealth University, Richmond, VA, USA); H. Chen (Brooklyn, New York, NY, USA); D. C. Shepherd (ABB Corp. Res., Raleigh, NC, USA); N. A. Kraft (ABB Corp. Res., Raleigh, NC, USA); L. Pollock (University of Delaware, Newark, DE, USA)"
186,Deep Code Search,2018,code search;deep learning;joint embedding,172,"X. Gu (Hong Kong University of Science and Technology, Kowloon, HK); H. Zhang (The University of Newcastle, Callaghan, NSW, AU); S. Kim (Hong Kong University of Science and Technology, Kowloon, HK)"
187,[Journal First] Augmenting and Structuring User Queries to Support Efficient Free-Form Code Search,2018,Code search;GitHub;Free form search;Query augmentation;StackOverflow;Vocabulary mismatch,3,"R. Sirres (Nat. Libr. of Luxembourg, Luxembourg City, Luxembourg); T. F. Bissyande (Universite du Luxembourg, Luxembourg, LU); D. Kim (Universite du Luxembourg, Luxembourg, LU); D. Lo (Singapore Manage. Univ. - Singapore, Singapore, Singapore); J. Klein (Universite du Luxembourg, Luxembourg, LU); K. Kim (Universite du Luxembourg, Luxembourg, LU); Y. Le Traon (Universite du Luxembourg, Luxembourg, LU)"
